Sat Nov 29 11:19:47 2025 {'value': 38.05, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:19:49 2025 {'value': 45.63, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:19:51 2025 {'value': 50.89, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:19:53 2025 {'value': 75.48, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:19:55 2025 {'value': 60.8, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:19:57 2025 {'value': 80.22, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:19:59 2025 {'value': 44.14, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:01 2025 {'value': 50.69, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:03 2025 {'value': 83.92, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:05 2025 {'value': 60.75, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:07 2025 {'value': 86.55, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:09 2025 {'value': 67.77, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:11 2025 {'value': 47.67, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:13 2025 {'value': 79.94, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:15 2025 {'value': 63.08, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:17 2025 {'value': 43.38, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:19 2025 {'value': 67.99, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:21 2025 {'value': 36.16, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:23 2025 {'value': 32.73, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:25 2025 {'value': 52.74, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:27 2025 {'value': 69.18, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:29 2025 {'value': 47.88, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:31 2025 {'value': 72.18, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:33 2025 {'value': 80.3, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:35 2025 {'value': 41.6, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:37 2025 {'value': 84.61, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:39 2025 {'value': 56.58, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:41 2025 {'value': 85.1, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:43 2025 {'value': 81.18, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:45 2025 {'value': 86.72, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:47 2025 {'value': 36.98, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:49 2025 {'value': 68.26, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:51 2025 {'value': 87.74, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:53 2025 {'value': 53.45, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:55 2025 {'value': 69.1, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:57 2025 {'value': 68.62, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:20:59 2025 {'value': 60.23, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:21:01 2025 {'value': 69.0, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:21:03 2025 {'value': 32.45, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:21:05 2025 {'value': 73.2, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:21:07 2025 {'value': 45.3, 'unit': '%', 'student_id': '12217557'}
Sat Nov 29 11:21:09 2025 {'value': 72.63, 'unit': '%', 'student_id': '12217557'}
